Symbol,HR,estimate,se,zval.random,pVal.random,p.adj,pValQ,direction,num.coherence,k
FAM111A,0.7003870320169325,-0.3561221938518806,0.11260304981501164,-3.1626336447985293,0.0015634895244961697,0.31283844328345833,0.638874935294517,---.---,6,6
HLA-DRA,0.8129722374036736,-0.20705831835235894,0.06551754784911973,-3.16034902327531,0.0015758024865159658,0.314125641938914,0.4839311078607804,---.---,6,6
HMBOX1,0.663002354330856,-0.4109767377756473,0.1302510254725383,-3.155266811026346,0.0016035139122577548,0.31607465337309326,0.6011994928408028,----+--,6,7
CXCL9,0.8171083382795099,-0.201983587920119,0.064053264155290085,-3.15336916211533,0.0016139756020507815,0.31607465337309326,0.09857983013256166,-------,7,7
FAM20C,1.372008511136654,0.31627573273682386,0.10037232513149079,3.151025268394381,0.0016269841393835097,0.31607465337309326,0.704090632603431,+++-..+,4,5
HLA-DMA,0.795126996180345,-0.2292534334623836,0.07279976298448203,-3.1490958770188744,0.0016377645333209704,0.31607465337309326,0.3699355646550438,-------,7,7
ZNF583,0.7019253677322956,-0.3539281943796942,0.11245145790224144,-3.1473864455130336,0.0016473707904375375,0.31607465337309326,0.5521375033008431,-+--..-,4,5
CDK12,0.6655796725234592,-0.4070969300204335,0.12938864866067956,-3.1463110113163104,0.001653440801208658,0.31607465337309326,0.8983632795000427,---.+--,5,6
IGHV1-69,0.9151565558114473,-0.08866012909493924,0.028190702839260912,-3.1450130775548866,0.0016607940577910779,0.31607465337309326,0.7772264033415781,------.,6,6
ZFAND3,0.5886564715359633,-0.5299125056578972,0.16921464310064632,-3.131599582328777,0.0017385681413576964,0.32820234764626705,0.9766256290961327,-------,7,7
KCNA3,0.847985316398346,-0.16489195890813843,0.05282719612117799,-3.1213460303647382,0.001800263607099133,0.33498636301607715,0.6988923499173653,---+++-,4,7
CLDN16,1.1446333653442553,0.1350843807901401,0.043290274019014245,3.1204325648483406,0.0018058564043993378,0.33498636301607715,0.8001666239323169,+-+.+++,5,6
C11orf58,0.6925216023689251,-0.3674158466506192,0.11786929972050321,-3.117146258795561,0.0018261095133333554,0.33685796614321034,0.5271184926924275,---.---,6,6
CASP10,0.7630344249705867,-0.27045213079857316,0.08682672128819108,-3.114849055521761,0.0018403906215027678,0.33768067290584247,0.4466761117052929,----++-,5,7
PRPF8,0.6500396910689871,-0.4307218547736776,0.13831765343360009,-3.114004930545234,0.001845664055265536,0.33768067290584247,0.5271580690007448,-+-.---,5,6
TUG1,0.6316239347344645,-0.4594611019189403,0.1480174683976465,-3.1041005287606023,0.0019085846917029595,0.34216184083737894,0.8553143385390003,---.--.,5,5
OXNAD1,0.6392403924206868,-0.4474746943791043,0.1443747089817998,-3.0993980700284145,0.0019391428903474622,0.3453225659130761,0.502155147542661,----..-,5,5
PCNX,0.5710025107616692,-0.5603616722050251,0.18100746418429106,-3.095793174774815,0.0019628722236471373,0.3462692014152595,0.4585693383575602,-.-...-,3,3
GBP1,0.8598091753735176,-0.1510448034561731,0.04879943306059364,-3.0952163577110143,0.0019666937849475976,0.3462692014152595,0.488717419155841,-------,7,7
LAX1,0.8657364837661867,-0.144174707988746,0.04659831259026942,-3.093989888785207,0.0019748421676603315,0.3462692014152595,0.8382388858694263,-------,7,7
SCGB2A1,1.097663537121124,0.093183863632886,0.03016064324875503,3.089584756675653,0.0020043650806115944,0.3462692014152595,0.9831223401297648,+++++++,7,7
ATP5F1A,0.4400249946736895,-0.8209237476066672,0.26587481863663887,-3.0876325626331425,0.002017577634716794,0.3462692014152595,0.6769359073937076,.-..--.,3,3
BTN3A1,0.7532916313328533,-0.2833028335539558,0.0918110752248885,-3.085715234899645,0.0020306319632216866,0.3462692014152595,0.704861606203842,---+-+-,5,7
MED24,0.6283522852150749,-0.46465430607699615,0.15093483390768378,-3.078509407319403,0.0020803896131661795,0.3462692014152595,0.8314187880195522,---.---,6,6
RORA-AS1,0.7478262110735971,-0.2905846661392483,0.09440582626286259,-3.0780374225013127,0.0020836874671122862,0.3462692014152595,0.8087562398998835,-+.-...,2,3
SSH2,0.6487537231198852,-0.4327021056053883,0.140603222438659,-3.0774693360542527,0.0020876631615419105,0.3462692014152595,0.778922101072118,----..-,5,5
NUDT4,0.712972635340579,-0.3383122389108381,0.11040672590687893,-3.0642357712534927,0.0021822685208172485,0.3462692014152595,0.7992227217593804,-----+-,6,7
CYSLTR2,0.7679965796748036,-0.26396999939281474,0.0861951791364367,-3.0624682498191884,0.0021951976196318487,0.3462692014152595,0.5887950095091331,-------,7,7
ASPHD2,0.7283624972317886,-0.31695641895637194,0.103504980888961,-3.062233490931217,0.002196920110149252,0.3462692014152595,0.39791095562473167,----..-,5,5
MOB3C,0.6440990643427238,-0.43990273808874825,0.1438828408606756,-3.057367615605492,0.0022329024797681863,0.3462692014152595,0.5313272662528504,---+..-,4,5
THUMPD3,0.6632871183315215,-0.41054732321583826,0.13458370272601564,-3.050498053628581,0.00228462161144029,0.3462692014152595,0.5143719376844166,---+..-,4,5
CD274,0.7293405310963054,-0.31561453519504534,0.10364226061697526,-3.045230134080574,0.002325023286903955,0.3462692014152595,0.1860448269919609,----..-,5,5
TGM5,1.1324741595343506,0.12440476092652471,0.04085326311696315,3.045160935378726,0.0023255583250838515,0.3462692014152595,0.9655655087232674,+++.+++,6,6
ATP5S,0.6270781854190451,-0.4666840484852901,0.15346560781319094,-3.0409682999031977,0.0023581865715990055,0.3462692014152595,0.47319396467389613,-.--..-,4,4
GUCD1,0.5819480676164424,-0.5413740661315963,0.17804925878504527,-3.0405859020462684,0.0023611832593196493,0.3462692014152595,0.9789080641861089,--.-..-,4,4
PPP2CA,0.729358731918041,-0.3155895803298472,0.10389214225302398,-3.0376655393364107,0.0023841841307692823,0.3462692014152595,0.7262426148711411,-+-----,6,7
