Symbol,odds.ratio,estimate,se,zval.random,pVal.random,p.adj,pValQ,direction,num.coherence,k
BTN2A1,2.036283102988991,0.7111261376412605,0.12681038341336068,5.607791085397323,2.0492517434652355e-8,1.1425760634142253e-5,0.5876438288251518,+++++-++++++--++,13,16
PTPN2,1.6656123366473021,0.5101928255798254,0.09098957465013492,5.607156946733444,2.056771395352225e-8,1.1425760634142253e-5,0.9117086674262472,++++-+++++++++++,15,16
BTN3A3,1.520222397775812,0.41885663848148,0.07478263247124901,5.60098815246326,2.1313330551640715e-8,1.1564027673745724e-5,0.3323545488603797,++++++++++.+--++,13,15
CD27,1.345055749359363,0.2964354615326186,0.05294144888423435,5.599307683868383,2.1520953229630575e-8,1.1564027673745724e-5,0.9834330204527648,++++++++++++++++,16,16
TLK2,2.080355082923773,0.7325385920875518,0.1308329314907425,5.599038282952369,2.1554419929549895e-8,1.1564027673745724e-5,0.4302476874974632,++++++++++++++++,16,16
CD3G,1.3409334365125696,0.2933659658659115,0.0524160413764359,5.596873746322186,2.182515234782081e-8,1.1564027673745724e-5,0.7144006433450845,+++++++-+++-++++,14,16
IDH2,1.4456180072351266,0.36853691680042877,0.06585496293860262,5.596190482166397,2.1911295931795612e-8,1.1564027673745724e-5,0.4311195006128847,++++++++++-+++++,15,16
HCST,1.4265689091604572,0.35527219696138057,0.06349417366674352,5.5953511392410205,2.201756921992643e-8,1.1564027673745724e-5,0.8597003424884572,+++++++...+..-.+,9,10
PSMA4,1.7290665506603256,0.5475816967992234,0.09829098434384193,5.571026686269321,2.532425308309721e-8,1.3042302887597514e-5,0.4235491719911677,++++-+++++-+++++,14,16
SMC4,1.6225890011646256,0.484023022430416,0.08690112265908376,5.569813227031092,2.5501255296105066e-8,1.3042302887597514e-5,0.0898509709490248,+++--+++++-+++++,13,16
TPP2,1.7849666806344207,0.5793997487461358,0.10402602654641535,5.5697575691561525,2.5509402608414147e-8,1.3042302887597514e-5,0.8897897639822876,++++-+++++.+++++,14,15
SLFN12L,1.5336444591515854,0.4276469023862051,0.07695265971477132,5.557272535755081,2.740227311540724e-8,1.3808060841031697e-5,0.34287206248235264,+++...+........+,5,5
TIGIT,1.3739835673363912,0.3177142340025777,0.057176318398625706,5.556745220766336,2.748514897217858e-8,1.3808060841031697e-5,0.47914050494718113,+++++++...+..-.+,9,10
CD47,1.5486787054533078,0.43740211929602385,0.07891481407931188,5.542712409566358,2.9782178960848436e-8,1.4833065580034979e-5,0.8876239736148015,++++--++++-+-+++,12,16
GPR174,1.3169552373305768,0.27532243382405575,0.04971549680462108,5.537960022929196,3.0601508750303525e-8,1.5110868090085776e-5,0.42564696117506035,+++++++......+.+,9,9
DEK,2.1029474615775525,0.7433399138015271,0.13440712728181198,5.5305096450946625,3.193017401315416e-8,1.563333791047431e-5,0.016850790324277814,+++--+++++-+++++,13,16
GTF2E2,1.924012031641907,0.6544126056760966,0.11838240386832341,5.527955036324476,3.239850555857764e-8,1.5729338320514827e-5,0.30011092256836425,++++-+++++.++-++,13,15
HAX1,1.9264487232671144,0.6556782682061609,0.11870634264025216,5.523531882312637,3.322519672708534e-8,1.5996270964255235e-5,0.297160001006938,++++-++++++++-++,14,16
HAT1,1.574491504336274,0.45393236575923035,0.08221834196676721,5.521059594496695,3.369614621698667e-8,1.6011240136733496e-5,0.5013512910300363,+++--+++++.+++++,13,15
CNP,1.7790184922852361,0.5760618033937179,0.10435025029633441,5.520464031066667,3.381056005610632e-8,1.6011240136733496e-5,0.5406182755165344,++++-++++++-+-++,13,16
ITK,1.326336649106624,0.2824207427282873,0.05117829261425078,5.518369767764512,3.421588953307867e-8,1.6071453673854366e-5,0.552441540940161,++++-++-++++++++,14,16
JAK2,1.5791691413420215,0.456898848815949,0.08284656773157906,5.515000335273884,3.487792938851824e-8,1.613038921552765e-5,0.4186802785801156,+++-++++++.+--++,12,15
